edge,v0,v1,l0,lfinal,scale
279,101,100,0.20071221278092749,0.19158273746837071,0.95451459985386444
280,62,100,0.2272013156769766,0.21090105836602061,0.92825632517845591
281,63,102,0.1407562284714195,0.13066009626112748,0.92827221700997742
282,102,62,0.21072349836115128,0.19328325819880909,0.91723637706293204
283,39,102,0.30165089671152656,0.30758051087728716,1.0196572071570242
284,102,100,0.18873650658735266,0.17848229989049702,0.94566919308687269
285,100,103,0.32216772449446285,0.31677313044971112,0.9832553243711275
286,103,99,0.2835582201550032,0.28831790862996376,1.0167855774816146
287,102,103,0.23361228780562565,0.22697359813325554,0.97158244656251236
288,39,103,0.32930152055105527,0.34912021376864555,1.0601840319000821
289,51,103,0.4133126808354593,0.4305003666003499,1.0415851885554246
290,51,104,0.23798575182458465,0.24424788665728675,1.0263130661591784
291,104,103,0.3062596863804099,0.30484678645757979,0.99538659514894456
292,8,105,0.24444270977104254,0.22344380768702735,0.91409479094842372
293,105,52,0.32305465950333856,0.30359777897712004,0.93977217181720463
294,8,27,0.17155070933086108,0.15932708660799169,0.92874630031815075
295,27,105,0.23120617109766436,0.21047807837728794,0.91034801267644094
296,105,26,0.32418183152550462,0.30501357036128934,0.94087188330692362
297,26,106,0.26648917315641357,0.26539591948315633,0.99589756814392016
298,106,105,0.32761377104864214,0.31070476668134844,0.94838738215072416
299,26,107,0.28322320148585839,0.29243485438367522,1.0325243583487873
300,107,106,0.17472879737941957,0.1818528327541587,1.0407719590679116
301,21,107,0.37721731972305961,0.39637912996170277,1.0507978007285326
302,21,108,0.2614294136320125,0.27437811062851231,1.049530375395044
303,108,107,0.13761594863250798,0.14831526165080397,1.0777476239099846
304,22,108,0.24433350019947658,0.26377760488675978,1.0795801831161458
305,108,109,0.25307028988863661,0.28041138630353801,1.1080375591577061
306,109,107,0.27488260569916528,0.3049480661991878,1.1093756384604652
307,22,109,0.36706846932640308,0.40790923280238539,1.1112619766849712
308,28,109,0.31234115698156839,0.33733280668583654,1.0800139499571071
309,109,110,0.18000921874591766,0.20025450381323487,1.1124680458498815
310,110,107,0.17909195913503423,0.19378770736971943,1.0820569963367517
311,109,111,0.094731486246117103,0.10476676801228645,1.1059339630764071
312,111,110,0.18365908489204538,0.1981130682870382,1.078700073037437
313,109,89,0.25733204779008578,0.27162172083214758,1.0555300949290169
314,89,111,0.22141739189568627,0.22661858002564275,1.0234904227053983
315,109,86,0.20515596118034168,0.22807806831037622,1.111730153967522
316,110,112,0.25882650966805731,0.27684917675961107,1.069632230155511
317,112,107,0.19481335803717348,0.20779940151945919,1.0666588965619481
318,112,106,0.1642686494343519,0.16900307726488298,1.028821250109706
319,113,98,0.22784539502940898,0.23218338662052976,1.019039189229876
320,98,114,0.20800902847888439,0.21582222972441023,1.0375618371118875
321,114,113,0.17729254327874158,0.18226568813776939,1.0280505021083091
322,98,103,0.34688040232741829,0.35357238649363493,1.0192919061478143
323,103,114,0.21503839722481521,0.22112515664040591,1.0283054537893863
324,104,114,0.45475710526335145,0.46077265224685726,1.0132280439687076
325,115,116,0.20358413922886012,0.20390814578673572,1.0015915117901761
326,116,114,0.37665426956089582,0.38825677023654748,1.0308041129845094
327,114,115,0.44868257560171393,0.45634284939328562,1.0170728131826798
328,116,117,0.18474350492903971,0.18859214569066388,1.0208323467886053
329,117,114,0.40039836027647685,0.41505736387625075,1.036611048031395
330,117,113,0.35382346610688453,0.36022957219241825,1.0181053737221559
331,117,118,0.16745602030810863,0.17365907074237433,1.0370428630923658
332,118,113,0.38786946814817558,0.39891550621111965,1.0284787511522413
333,119,111,0.11975675972573392,0.12126206958496091,1.0125697276936554
334,89,119,0.2287740821108869,0.22109208015844087,0.96642101289811944
335,119,110,0.25829189804773872,0.26308377985614884,1.0185521955765118
336,119,120,0.17998658128758174,0.1767345937748532,0.98193205577068809
337,120,110,0.13730008982483893,0.14362433412536568,1.0460614724185171
338,115,121,0.26708652976352204,0.2551383160820328,0.9552646339294304
339,121,122,0.16636524877138489,0.158510607907238,0.95278676933942774
340,122,115,0.2894010451590045,0.28525853778734273,0.98568592808852584
341,122,116,0.27527198887348209,0.27499492203812487,0.99899347973438535
342,122,123,0.19385490141486775,0.19378659693403502,0.99964765151495161
343,123,116,0.28165730237504943,0.28610144041682145,1.0157785294551116
344,123,117,0.27163072020138135,0.27747100324192159,1.0215008193337276
345,123,124,0.13159165435414091,0.13392404236849978,1.0177244372054319
346,124,117,0.27310797734141395,0.27933154446145858,1.0227879360413721
347,124,118,0.27882395130851906,0.28808342250092184,1.0332090236471729
348,124,125,0.20112202416000596,0.20683258389733331,1.028393507678623
349,125,118,0.2891292223502358,0.30148271982118302,1.0427265613988435
350,121,105,0.13921274871525069,0.12662522552105554,0.90958067195453496
351,106,121,0.26148083654811999,0.25174756029379852,0.96277633044618827
352,104,115,0.27002938292878148,0.26584758422193006,0.98451354196534102
353,52,104,0.20334927898692665,0.19994145574375063,0.9832415277784432
354,104,53,0.21881467261697019,0.22666564168264269,1.0358795366497906
355,104,126,0.19647636611339281,0.19007055595838476,0.96739653586981023
356,126,115,0.1478520233959956,0.14357427905909326,0.97106739401566966
357,126,121,0.29969026593035764,0.28130611327398658,0.93865615688484461
358,126,105,0.27067105480960735,0.25026995242851335,0.92462769099767861
359,52,126,0.16044652902653259,0.15560308995421218,0.96981275256182409
360,120,127,0.2516245340796272,0.25838556794389272,1.026869533565141
361,127,112,0.23309243763890242,0.24474888743453363,1.0500078420119701
362,112,120,0.35027601887838899,0.36119608505716339,1.0311756032106945
363,127,123,0.42567442786483006,0.43884061463017138,1.0309301802116291
364,123,112,0.32443314251862521,0.33587047420405924,1.0352532777528345
365,127,128,0.2742817774370519,0.28307511838925514,1.0320595157081529
366,128,123,0.20249705120889727,0.20605232410072574,1.0175571588356653
367,127,129,0.22926567031029543,0.24149326762793913,1.0533337472683741
368,129,128,0.12233771008118301,0.12719086065308402,1.0396701112737885
369,112,121,0.37448172254433898,0.36950983971680323,0.98672329641683099
370,112,122,0.30065634183995421,0.30611217841168986,1.0181464210545073
371,56,130,0.11002327581258085,0.12043003509456796,1.094586888139147
