vertex,is_boundary,flattened,candidate,K_orig,K_final,K_rounded
2158,0,1,0,0.0099208957965117861,1.1628927092388608e-06,
2159,0,1,0,0.010189482345110079,3.2278152239939573e-07,
2160,0,1,0,0.010273709411635856,3.7505234473655946e-09,
2161,0,1,0,0.010186712205847215,3.0772375048115919e-07,
2162,0,1,0,0.0099281963997999156,1.1479357073795882e-06,
2163,0,1,0,0.0094815773112824075,2.4040062971408815e-06,
2164,0,1,0,0.0088956544907192736,3.8451278356887997e-06,
2165,0,1,0,0.0081511342981395174,5.2438060276216447e-06,
2166,0,1,0,0.0072704704510861973,6.3521738118410553e-06,
2167,0,1,0,0.006255728136266292,6.9558330784147415e-06,
2168,0,1,0,0.005134792512437869,6.9072883386311901e-06,
2169,0,1,0,0.0039345213093966436,6.1534413653419051e-06,
2170,0,1,0,0.0026599918337453232,4.7213319325223324e-06,
2171,0,1,0,0.0013414566367986325,2.7509645139645045e-06,
2172,0,1,0,-4.0261127765006677e-12,4.5365134315744626e-07,
2173,0,1,0,-0.0013415178076883194,-1.9146205056941312e-06,
2174,0,1,0,-0.0026575853340924382,-4.0763976674185187e-06,
2175,0,1,0,-0.0039352739155384953,-5.8025361804325826e-06,
2176,0,1,0,-0.0051371080142459391,-6.874351562657921e-06,
2177,0,1,0,-0.006254799652599452,-7.2129201384996122e-06,
2178,0,1,0,-0.007270898458338948,-6.8178177148325858e-06,
2179,0,1,0,-0.0081540380271976076,-5.7921822822493141e-06,
2180,0,1,0,-0.0088979953128518474,-4.344929514843443e-06,
2181,0,1,0,-0.0094954136628357944,-2.7644434927864836e-06,
2182,0,1,0,-0.0099153714678124061,-1.3389273156860781e-06,
2183,0,1,0,-0.010184052715835001,-3.6690444815690171e-07,
2184,0,1,0,-0.010265854784839767,-1.7410343389201444e-08,
2185,0,1,0,-0.010184052715835001,-3.6690444904508013e-07,
2186,0,1,0,-0.0099153714678124061,-1.3389273183506134e-06,
2187,0,1,0,-0.0094954136628357944,-2.7644434945628404e-06,
2188,0,1,0,-0.0088979953128518474,-4.3449295201725135e-06,
2189,0,1,0,-0.0081540380271984958,-5.7921822937956335e-06,
2190,0,1,0,-0.007270898458338948,-6.8178177254907268e-06,
2191,0,1,0,-0.0062547996525985639,-7.212920129617828e-06,
2192,0,1,0,-0.0051371080142459391,-6.8743515564406721e-06,
2193,0,1,0,-0.0039352739155384953,-5.8025361759916905e-06,
2194,0,1,0,-0.0026575853340915501,-4.076397670083054e-06,
2195,0,1,0,-0.0013415178076883194,-1.9146205056941312e-06,
2196,0,1,0,-4.0261127765006677e-12,4.5365134404562468e-07,
2197,0,1,0,0.0013414566367986325,2.7509645175172182e-06,
2198,0,1,0,0.0026599918337453232,4.7213319458450087e-06,
2199,0,1,0,0.0039345212374843896,6.1534413573482993e-06,
2200,0,1,0,0.0051347925824778429,6.9072884967269488e-06,
2201,0,1,0,0.006255728136266292,6.9558330473284968e-06,
2202,0,1,0,0.0072704704510861973,6.3521737896365948e-06,
2203,0,1,0,0.0081511342981395174,5.2438060196280389e-06,
2204,0,1,0,0.0088956544907192736,3.8451278339124428e-06,
2205,0,1,0,0.0094815773112824075,2.4040063157926284e-06,
2206,0,1,0,0.0099281963997999156,1.1479357731047912e-06,
2207,0,1,0,0.010186712205848103,3.0772369097320507e-07,
2208,0,1,0,0.010262857141775328,4.425239286121041e-08,
2209,0,1,0,0.010186985042195396,3.3634776297475355e-07,
2210,0,1,0,0.0099139424267953302,1.1764467862107608e-06,
2211,0,1,0,0.0094894412306967268,2.4083478997738439e-06,
2212,0,1,0,0.0088983666823736485,3.8486259477110707e-06,
2213,0,1,0,0.0081518800191631158,5.2501891607548146e-06,
2214,0,1,0,0.0072632442543856257,6.3581601628115436e-06,
2215,0,1,0,0.0062548267792852386,6.9583813209206369e-06,
2216,0,1,0,0.0051376736130617218,6.9064485090919447e-06,
2217,0,1,0,0.0039370443909509945,6.1539706699420549e-06,
2218,0,1,0,0.0026593651845843169,4.718196501940497e-06,
2219,0,1,0,0.0013422386667025776,2.7524292356417845e-06,
2220,0,1,0,-3.872457909892546e-13,4.5352818833777064e-07,
2221,0,1,0,-0.0013417515304476879,-1.9156283554977449e-06,
2222,0,1,0,-0.0026594541474755928,-4.0807308598900249e-06,
2223,0,1,0,-0.003936350881335926,-5.8031266103597545e-06,
2224,0,1,0,-0.0051365614324367925,-6.8714750129927893e-06,
2225,0,1,0,-0.0062511786861056962,-7.1988108603093792e-06,
2226,0,1,0,-0.0072687230874777242,-6.7999093618098527e-06,
2227,0,1,0,-0.0081435897624873022,-5.7571290188462854e-06,
2228,0,1,0,-0.008894081027706946,-4.320570641702659e-06,
2229,0,1,0,-0.0094901421912956252,-2.7510271607411596e-06,
2230,0,1,0,-0.0099214053529248503,-1.3485546785929614e-06,
2231,0,1,0,-0.010184606229755033,-3.7610375258623208e-07,
2232,0,1,0,-0.010269096637526509,-2.9957468505870111e-08,
2233,0,1,0,-0.010184606229755033,-3.7610374992169682e-07,
