vertex,u
809,-0.15758481773221938
810,-0.17869149020684275
811,-0.19684463260054971
812,-0.21188748885706046
813,-0.22370789143242145
814,-0.23221167920469396
815,-0.23733723696339162
816,-0.23904826059500109
817,-0.23733515353226778
818,-0.23221018480255948
819,-0.22370688622884222
820,-0.21189016667121946
821,-0.19684428959632577
822,-0.17869239937539716
823,-0.15758498757723277
824,-0.13371119772593959
825,-0.10730953128538404
826,-0.078655793079760741
827,-0.048085730211068912
828,-0.015994389463321802
829,0.0171614440992061
830,0.050859459087580758
831,0.084509336193726164
832,0.11746123326624042
833,0.14901579667286619
834,0.17843432476801066
835,0.20496663799121917
836,0.22788690760365371
837,0.24651644133310205
838,0.26027863433485959
839,0.26872482595432651
840,0.27157325620670447
841,0.26872482595135172
842,0.26027863433102405
843,0.24651644133286918
844,0.22788690761225502
845,0.20496663800392542
846,0.17843432478108606
847,0.14901579668453191
848,0.11746123327594209
849,0.084509336201485305
850,0.050859459093633992
851,0.017161444103842342
852,-0.015994389459816759
853,-0.048085730208406112
854,-0.078655793083678011
855,-0.1073095312920529
856,-0.13371119773829043
857,-0.15758498760010994
858,-0.17869239935178069
859,-0.19684428958294711
860,-0.21189016666352892
861,-0.22370688622443238
862,-0.2322101848001506
863,-0.23733515353120255
864,-0.23904715633145165
865,-0.23733518116333346
866,-0.23221078998472439
867,-0.22370843655709674
868,-0.21189157683831467
869,-0.19684624200971015
870,-0.17869507030714887
871,-0.1575860843466253
872,-0.13371433828822335
873,-0.10730794841793466
874,-0.078653695334746768
875,-0.048084944868488702
876,-0.015993458024336819
877,0.017160156821522065
878,0.050859046350059202
879,0.084509510670485788
880,0.11746172576343789
881,0.14901537812859175
882,0.17843469555562103
883,0.20496688093953502
884,0.22788713005004504
885,0.2465165994394512
886,0.26027957069657981
887,0.26872482837326822
888,0.27157391425611982
889,0.2687248283570145
890,0.26027957066694524
891,0.24651659941216633
892,0.2278871300858511
893,0.20496688097984669
894,0.17843469558732139
895,0.14901537815114374
896,0.11746172577898623
897,0.084509510681189781
898,0.050859046357578867
899,0.017160156827072576
900,-0.015993458019821626
901,-0.048084944864196941
902,-0.078653695329840428
903,-0.10730794841048474
904,-0.13371433827537463
905,-0.15758608432351259
906,-0.17869507033073195
907,-0.19684624202318929
908,-0.21189157684617327
909,-0.22370843656168496
910,-0.23221078998727754
911,-0.23733518116447833
912,-0.23904973992788381
913,-0.23733665880319671
914,-0.23221051028574008
915,-0.22370684958864909
916,-0.21188769138264965
917,-0.19684500127704918
918,-0.17869315448960205
919,-0.15758404733024206
920,-0.13371359536421959
921,-0.10730873021110904
922,-0.078655175304324795
923,-0.048085015379338375
924,-0.015994839285549768
925,0.017162327857427488
926,0.050857761354303851
927,0.084509372632824847
928,0.11746070291732828
929,0.14901527976370593
930,0.17843306009240195
931,0.2049656021364239
932,0.22788515160256692
933,0.24651501740795603
934,0.26027697805937855
935,0.26872275258843481
936,0.27157194405736623
937,0.26872275254984324
938,0.26027697795211097
939,0.24651501714535876
940,0.22788515186978683
941,0.20496560225299523
942,0.17843306014578808
943,0.14901527978930254
944,0.11746070293005742
945,0.084509372639291203
946,0.050857761357607958
947,0.017162327859131729
948,-0.015994839284589443
949,-0.048085015378612692
950,-0.078655175303525934
951,-0.10730873021009872
952,-0.13371359536321534
953,-0.15758404733019207
954,-0.17869315449295081
955,-0.19684500128115107
956,-0.21188769138640082
957,-0.22370684959161066
958,-0.23221051028775225
959,-0.23733665880420893
960,-0.23904663611746152
961,-0.23733324299656686
962,-0.23221028979633726
963,-0.22370737416592279
964,-0.2118883347998945
965,-0.19684655483830235
966,-0.17869344489544225
967,-0.1575851285232247
968,-0.13371312718634715
969,-0.10730867738771832
970,-0.078655699039923976
971,-0.048086882509810976
972,-0.015994601354950354
973,0.017162293671218451
974,0.050859056215300402
975,0.084508692330631352
976,0.11746235561492525
977,0.1490163765724199
978,0.17843553550609309
979,0.20496826700461421
980,0.22788768927538339
981,0.24651852575727434
982,0.26028039325371494
983,0.26872695035422095
984,0.27157560016190224
985,0.26872695039210076
986,0.2602803933595022
987,0.24651852601754928
988,0.22788768900500725
989,0.204968266884136
990,0.17843553544822288
991,0.14901637654194808
992,0.11746235559710184
993,0.084508692319009204
994,0.050859056206925234
995,0.017162293664670886
996,-0.015994601360388657
997,-0.048086882514530083
998,-0.078655699044162447
999,-0.10730867739165711
1000,-0.13371312719016137
1001,-0.15758512852708745
1002,-0.17869344489944308
1003,-0.1968465548421871
1004,-0.21188833480336955
1005,-0.22370737416874151
1006,-0.23221028979831679
1007,-0.23733324299758668
1008,-0.23904968486948661
1009,-0.23733660580353902
1010,-0.23221046487462374
1011,-0.22370682068413503
1012,-0.21188769479396333
1013,-0.1968450674419672
1014,-0.17869321473453562
1015,-0.15758403063405449
1016,-0.13371332299573771
1017,-0.1073086041184735
1018,-0.078654949216720491
1019,-0.048084911831610185
1020,-0.015994788594630362
1021,0.0171623598227983
1022,0.05085779019550208
1023,0.084509402789907734
1024,0.11746072362444582
1025,0.14901528744973072
1026,0.17843305222192846
1027,0.20496557504755702
1028,0.22788510535282377
1029,0.24651497256152533
1030,0.26027702982215184
1031,0.26872260800186548
1032,0.27157175223765667
1033,0.2687226080176105
1034,0.26027702985057027
1035,0.24651497258656824
1036,0.22788510531355585
1037,0.20496557500277657
1038,0.17843305218508362
1039,0.14901528742162773
1040,0.11746072360313031
1041,0.084509402773353656
1042,0.050857790182166809
1043,0.01716235981160966
1044,-0.015994788604392698
1045,-0.04808491184042242
1046,-0.078654949224889609
1047,-0.1073086041261893
1048,-0.13371332300311614
1049,-0.15758403064112361
1050,-0.17869321474122726
1051,-0.19684506744811656
1052,-0.21188769479934227
1053,-0.22370682068848832
1054,-0.23221046487770347
1055,-0.23733660580514038
1056,-0.23904700832450981
1057,-0.23733502576915511
1058,-0.23221061991833045
1059,-0.22370824055674998
1060,-0.21189133226923301
1061,-0.19684557788895687
1062,-0.17869447525356577
1063,-0.15758607159032295
1064,-0.13371443972754313
1065,-0.1073081836632626
1066,-0.078656501343247393
1067,-0.04808518330397684
1068,-0.015993560146526892
1069,0.017160134635644701
1070,0.050859081664993658
1071,0.084509621305088253
1072,0.11746178031588364
1073,0.14901540372327218
1074,0.1784346918011008
1075,0.20496682418441375
1076,0.2278869612122251
1077,0.24651619200907268
1078,0.26027917234443892
1079,0.2687240519763785
1080,0.27157322587643079
1081,0.26872405197971222
1082,0.26027917234838444
1083,0.24651619200788238
1084,0.22788696119916083
1085,0.20496682416554662
1086,0.17843469178121982
1087,0.14901540370464014
1088,0.11746178029917877
1089,0.084509621290238576
1090,0.050859081651643955
1091,0.017160134623377905
1092,-0.015993560158094031
1093,-0.048085183315148737
1094,-0.078656501354211303
1095,-0.10730818367402613
1096,-0.13371443973834135
1097,-0.15758607160118115
1098,-0.17869447526434304
1099,-0.19684557789935697
