face,alpha_mod,dirx,diry,dirz,cx,cy,cz
6615,1.17726,-0.214502,-0.408784,-0.887065,-0.185172,-0.177061,0.872123
6616,1.14588,0.968284,-0.212504,-0.131409,-0.18869,-0.168359,0.886778
6617,1.3675,-0.0543977,-0.646013,-0.761386,-0.194072,-0.147171,0.913841
6618,0.14748,-0.951244,-0.110521,-0.287958,-0.197845,-0.128309,0.931486
6619,0.206077,-0.937864,-0.170173,-0.30241,-0.201077,-0.107251,0.946573
6620,1.08963,0.915761,-0.401254,-0.0194158,-0.203108,-0.0921786,0.955035
6621,1.13592,0.920307,-0.38814,0.0488142,-0.205266,-0.0682786,0.96532
6622,0.546094,-0.818389,-0.509391,-0.266006,-0.207022,-0.0346586,0.974149
6623,0.415155,0.409558,-0.912053,0.0205521,-0.207553,-0.017404,0.976357
6624,0.125502,0.114214,-0.990324,0.078824,-0.130354,0.00870199,0.990201
6625,0.296275,0.260628,-0.940269,0.219016,-0.129953,0.0346586,0.987389
6626,0.735904,-0.761431,-0.63568,0.127022,-0.128895,0.0682786,0.978449
6627,0.880251,-0.672584,-0.691514,0.263514,-0.127551,0.0921786,0.968026
6628,1.26781,0.920288,-0.265471,0.287394,-0.126189,0.107251,0.959431
6629,1.52594,-0.12191,-0.751369,0.648523,-0.123701,0.134865,0.938406
6630,1.42149,0.961529,-0.117297,0.248401,-0.121776,0.147171,0.926251
6631,0.249508,-0.986443,-0.137258,0.0899477,-0.118533,0.168359,0.898849
6632,0.354248,0.211343,-0.420248,0.882454,-0.116175,0.177061,0.883963
6633,0.450102,-0.942575,-0.139933,0.303268,-0.112398,0.190381,0.852053
6634,0.514077,0.352184,-0.17357,0.919696,-0.109769,0.194885,0.835449
6635,1.11549,-0.542033,-0.0588183,0.838296,-0.105716,0.199429,0.801205
6636,1.34751,-0.334244,0.063869,0.94032,-0.102311,0.198859,0.775341
6637,1.37394,-0.307286,0.191462,0.932158,-0.0989399,0.194885,0.749773
6638,1.04118,-0.597733,0.277556,0.752116,-0.0956619,0.187579,0.724937
6639,0.761346,0.580579,0.330959,0.743905,-0.0931466,0.180919,0.709056
6640,0.58325,0.436332,0.473707,0.764994,-0.0901759,0.168359,0.686373
6641,1.04274,-0.576679,0.569738,0.585526,-0.0869326,0.147171,0.658971
6642,0.767867,0.613974,0.554411,0.56184,-0.0850072,0.134865,0.646817
6643,0.656515,0.536263,0.669698,0.513738,-0.0828986,0.114501,0.630621
6644,0.626928,-0.834698,0.526245,0.162314,-0.0808546,0.0843573,0.613352
6645,0.542836,0.469625,0.816981,0.334654,-0.0798126,0.0682786,0.606774
6646,0.280659,0.245702,0.944495,0.218083,-0.0788879,0.0432113,0.59953
6647,0.256714,0.24223,0.965806,0.0924338,-0.0783992,0.017404,0.59559
6648,0.19721,-0.972316,0.195515,-0.127967,-0.0783992,-0.017404,0.59559
6649,0.23697,-0.959938,0.230256,-0.159689,-0.0788879,-0.0432113,0.59953
6650,0.491349,-0.85777,0.446809,-0.25415,-0.0798126,-0.0682786,0.606774
6651,0.39758,0.447886,0.820898,-0.354296,-0.0808546,-0.0843573,0.613352
6652,0.413057,-0.883356,0.333835,-0.328994,-0.0828986,-0.114501,0.630621
6653,0.300677,-0.925574,0.222755,-0.306092,-0.0850072,-0.134865,0.646817
6654,1.53717,0.99342,0.00268684,0.114498,-0.0869326,-0.147171,0.658971
6655,0.554529,-0.792811,0.292687,-0.534588,-0.0901759,-0.168359,0.686373
6656,0.30974,-0.91369,0.134911,-0.383366,-0.0931466,-0.180919,0.709056
6657,1.46238,0.99847,0.0228768,0.0503411,-0.0956619,-0.187579,0.724937
6658,1.15556,0.965836,0.0718236,-0.249004,-0.0989399,-0.194885,0.749773
6659,1.42267,0.999933,0.00711754,0.00911757,-0.102311,-0.198859,0.775341
6660,0.135817,0.288406,-0.0644897,-0.955334,-0.105716,-0.199429,0.801205
6661,0.554701,-0.783461,-0.102827,-0.612874,-0.109769,-0.194885,0.835449
